customer_id,platform,post_id,content,likes,comments,retweets
1,Instagram,P001,"Loving my new smartphone!",120,10,0
1,Twitter,T001,"Excited to start using my new laptop!",90,0,15
2,Instagram,P002,"Just received my smartwatch! #TechLover",250,40,0
2,Twitter,T002,"Can't wait to try out my new headphones",100,10,5
3,Instagram,P003,"This tablet is amazing, so portable!",80,12,0
3,Twitter,T003,"Smartphone is my new go-to device",200,20,10
4,Instagram,P004,"Finally upgraded to a big screen TV!",500,100,10
4,Twitter,T004,"Loving my new laptop, so fast!",60,5,20
5,Instagram,P005,"Smartwatch is helping me keep track of everything!",180,20,0
5,Twitter,T005,"My new camera is fantastic for vlogging!",150,30,25
6,Instagram,P006,"Smartphone is great for work and play",200,25,15
6,Twitter,T006,"Laptop is perfect for gaming!",300,50,30
7,Instagram,P007,"My smartwatch is now my fitness tracker",220,35,5
7,Twitter,T007,"Headphones are super comfy!",180,40,20
8,Instagram,P008,"Tablet is my new travel buddy!",120,15,0
8,Twitter,T008,"Smartphone camera is excellent for photography!",250,45,10
9,Instagram,P009,"Just got a new smartwatch",150,20,0
9,Twitter,T009,"Laptop is fast and reliable!",270,50,25
10,Instagram,P010,"Camera is perfect for my nature trips",100,10,0
10,Twitter,T010,"Smartphone is a must-have for productivity",200,30,15
